
([<Response [302]>, <Response [302]>, <Response [301]>], '--> ', 200, '= ', 'dota2.com', 'https://www.dota2.com/home')
([<Response [302]>, <Response [302]>], '--> ', 200, '= ', 'blog.dota2.com', 'https://www.dota2.com/news')
([<Response [302]>, <Response [302]>], '--> ', 200, '= ', 'br.blog.dota2.com', 'https://www.dota2.com/news')
([<Response [302]>, <Response [302]>], '--> ', 200, '= ', 'br.dota2.com', 'https://www.dota2.com/news')
([<Response [302]>, <Response [302]>], '--> ', 200, '= ', 'cn.blog.dota2.com', 'https://www.dota2.com/news')
([<Response [302]>, <Response [302]>], '--> ', 200, '= ', 'cn.dota2.com', 'https://www.dota2.com/news')
([<Response [302]>, <Response [302]>], '--> ', 200, '= ', 'de.blog.dota2.com', 'https://www.dota2.com/news')
([<Response [302]>, <Response [302]>], '--> ', 200, '= ', 'de.dota2.com', 'https://www.dota2.com/news')
([<Response [302]>, <Response [302]>], '--> ', 200, '= ', 'en.blog.dota2.com', 'https://www.dota2.com/news')
([<Response [302]>, <Response [302]>], '--> ', 200, '= ', 'en.dota2.com', 'https://www.dota2.com/news')
([<Response [302]>, <Response [302]>], '--> ', 200, '= ', 'es.blog.dota2.com', 'https://www.dota2.com/news')
([<Response [302]>, <Response [302]>], '--> ', 200, '= ', 'es.dota2.com', 'https://www.dota2.com/news')
([<Response [302]>, <Response [302]>], '--> ', 200, '= ', 'fr.blog.dota2.com', 'https://www.dota2.com/news')
([<Response [302]>, <Response [302]>], '--> ', 200, '= ', 'fr.dota2.com', 'https://www.dota2.com/news')
([<Response [302]>, <Response [302]>], '--> ', 200, '= ', 'it.blog.dota2.com', 'https://www.dota2.com/news')
([<Response [302]>, <Response [302]>], '--> ', 200, '= ', 'it.dota2.com', 'https://www.dota2.com/news')
([<Response [302]>, <Response [302]>], '--> ', 200, '= ', 'kr.blog.dota2.com', 'https://www.dota2.com/news')
([<Response [302]>, <Response [302]>], '--> ', 200, '= ', 'kr.dota2.com', 'https://www.dota2.com/news')
([<Response [302]>, <Response [302]>], '--> ', 200, '= ', 'ru.blog.dota2.com', 'https://www.dota2.com/news')
([<Response [302]>, <Response [302]>], '--> ', 200, '= ', 'ru.dota2.com', 'https://www.dota2.com/news')
([<Response [302]>], '--> ', 200, '= ', 'dev.dota2.com', 'https://github.com/ValveSoftware/Dota2-Gameplay/issues')
([<Response [302]>], '--> ', 200, '= ', 'www.dota2.com', 'https://www.dota2.com/home')
([], '--> ', 200, '= ', 'cdn.dota2.com', 'https://cdn.dota2.com/')
([], '--> ', 403, '= ', 'partner.dota2.com', 'https://partner.dota2.com/')
([], '--> ', 403, '= ', 'partner.staging.dota2.com', 'https://partner.staging.dota2.com/')
([], '--> ', 403, '= ', 'staging.dota2.com', 'https://staging.dota2.com/')
([], '--> ', 403, '= ', 'www.staging.dota2.com', 'https://www.staging.dota2.com/')
