
([<Response [301]>, <Response [302]>], '--> ', 200, '= ', 'support.steampowered.com', 'https://help.steampowered.com/en/')
([<Response [301]>], '--> ', 200, '= ', 'steamgames.com', 'https://store.steampowered.com/')
([<Response [301]>], '--> ', 200, '= ', 'steampowered.com', 'https://store.steampowered.com/')
([<Response [301]>], '--> ', 200, '= ', 'storefront.steampowered.com', 'https://store.steampowered.com/')
([<Response [301]>], '--> ', 200, '= ', 'www.steamgames.com', 'https://store.steampowered.com/')
([<Response [301]>], '--> ', 200, '= ', 'www.steampowered.com', 'https://store.steampowered.com/')
([<Response [302]>, <Response [302]>, <Response [302]>, <Response [302]>], '--> ', 200, '= ', 'cafe.steampowered.com', 'https://help.steampowered.com/en/')
([<Response [302]>, <Response [302]>, <Response [302]>, <Response [302]>], '--> ', 200, '= ', 'cafesupport.steampowered.com', 'https://help.steampowered.com/en/')
([<Response [302]>, <Response [302]>, <Response [302]>], '--> ', 200, '= ', 'compliance.steampowered.com', 'https://help.steampowered.com/en/faqs/view/3D15-B320-C20E-BACD')
([<Response [302]>, <Response [302]>, <Response [302]>], '--> ', 200, '= ', 'controller.steampowered.com', 'https://help.steampowered.com/en/faqs/view/0FB0-4EFE-04A3-FBA1')
([<Response [302]>, <Response [302]>, <Response [302]>], '--> ', 200, '= ', 'dongle.steampowered.com', 'https://help.steampowered.com/en/faqs/view/1796-5FC3-88B3-C85F')
([<Response [302]>, <Response [302]>], '--> ', 200, '= ', 'steamvr.steampowered.com', 'https://www.steamvr.com/en/')
([<Response [302]>], '--> ', 200, '= ', 'forums.steampowered.com', 'https://steamcommunity.com/discussions/')
([<Response [302]>], '--> ', 200, '= ', 'help.steampowered.com', 'https://help.steampowered.com/en/')
([<Response [302]>], '--> ', 200, '= ', 'login.steampowered.com', 'https://store.steampowered.com/')
([<Response [302]>], '--> ', 200, '= ', 'partner.steampowered.com', 'https://partner.steampowered.com/login/?goto=%2F')
([<Response [302]>], '--> ', 200, '= ', 'translation.steampowered.com', 'https://valve.crowdin.com/')
([<Response [302]>], '--> ', 200, '= ', 'www.steamcommunity.com', 'https://steamcommunity.com/')
([], '--> ', 200, '= ', 'media.steamcommunity.com', 'https://media.steamcommunity.com/')
([], '--> ', 200, '= ', 'media.steampowered.com', 'https://media.steampowered.com/')
([], '--> ', 200, '= ', 'partner.steamgames.com', 'https://partner.steamgames.com/')
([], '--> ', 200, '= ', 'repo.steampowered.com', 'https://repo.steampowered.com/')
([], '--> ', 200, '= ', 'steamcommunity.com', 'https://steamcommunity.com/')
([], '--> ', 200, '= ', 'store.steampowered.com', 'https://store.steampowered.com/')
([], '--> ', 403, '= ', 'crash.steampowered.com', 'https://crash.steampowered.com/')
([], '--> ', 403, '= ', 'kgs.steampowered.com', 'https://kgs.steampowered.com/')
([], '--> ', 403, '= ', 'partnerupload.steampowered.com', 'https://partnerupload.steampowered.com/')
([], '--> ', 403, '= ', 'partnerupload0.steampowered.com', 'https://partnerupload0.steampowered.com/')
([], '--> ', 403, '= ', 'partnerupload1.steampowered.com', 'https://partnerupload1.steampowered.com/')
([], '--> ', 403, '= ', 'partnerupload2.steampowered.com', 'https://partnerupload2.steampowered.com/')
([], '--> ', 403, '= ', 'partnerupload3.steampowered.com', 'https://partnerupload3.steampowered.com/')
([], '--> ', 404, '= ', 'api.steampowered.com', 'https://api.steampowered.com/')
([], '--> ', 404, '= ', 'cloud-origin.steampowered.com', 'https://cloud-origin.steampowered.com/')
([], '--> ', 404, '= ', 'cm1-atl1.cm.steampowered.com', 'https://cm1-atl1.cm.steampowered.com/')
([], '--> ', 404, '= ', 'cm1-dfw1.cm.steampowered.com', 'https://cm1-dfw1.cm.steampowered.com/')
