
([<Response [302]>], --> , 200, = , ssl-lhr.valve.net, https://ssl-lhr.valve.net/dana-na/auth/url_default/welcome.cgi)
([<Response [302]>], --> , 200, = , ssl.valve.net, https://ssl.valve.net/dana-na/auth/url_default/welcome.cgi)
([<Response [302]>], --> , 200, = , ssl2.valve.net, https://ssl2.valve.net/dana-na/auth/url_default/welcome.cgi)
([<Response [302]>], --> , 403, = , mail.valve.net, https://mail.valve.net/owa/)
([<Response [302]>], --> , 403, = , sync.valve.net, https://sync.valve.net/owa/)
([<Response [302]>], --> , 522, = , clan.cloudflare.steamstatic.com, http://clan.cloudflare.steamstatic.com:8080/dashboard.html)
([<Response [302]>], --> , 522, = , video.cloudflare.steamstatic.com, http://video.cloudflare.steamstatic.com:8080/dashboard.html)
([], --> , 200, = , cache1-akl-tpwr.steamcontent.com, https://cache1-akl-tpwr.steamcontent.com/)
([], --> , 200, = , cache1-akl-vgnz.steamcontent.com, https://cache1-akl-vgnz.steamcontent.com/)
([], --> , 200, = , cache1-ala-kzkt.steamcontent.com, https://cache1-ala-kzkt.steamcontent.com/)
([], --> , 200, = , cache1-ams1.steamcontent.com, https://cache1-ams1.steamcontent.com/)
([], --> , 200, = , cache1-atl1.steamcontent.com, https://cache1-atl1.steamcontent.com/)
([], --> , 200, = , cache1-bkk-awnc.steamcontent.com, https://cache1-bkk-awnc.steamcontent.com/)
([], --> , 200, = , cache1-bkk-jast.steamcontent.com, https://cache1-bkk-jast.steamcontent.com/)
([], --> , 200, = , cache1-bkk-true.steamcontent.com, https://cache1-bkk-true.steamcontent.com/)
([], --> , 200, = , cache1-bne-aubb.steamcontent.com, https://cache1-bne-aubb.steamcontent.com/)
([], --> , 200, = , cache1-bne-iioa.steamcontent.com, https://cache1-bne-iioa.steamcontent.com/)
([], --> , 200, = , cache1-bom1.steamcontent.com, https://cache1-bom1.steamcontent.com/)
([], --> , 200, = , cache1-bud-retn.steamcontent.com, https://cache1-bud-retn.steamcontent.com/)
([], --> , 200, = , cache1-cfc-acol.steamcontent.com, https://cache1-cfc-acol.steamcontent.com/)
([], --> , 200, = , cache1-cmh-ohix.steamcontent.com, https://cache1-cmh-ohix.steamcontent.com/)
([], --> , 200, = , cache1-den-iwst.steamcontent.com, https://cache1-den-iwst.steamcontent.com/)
([], --> , 200, = , cache1-dfw1.steamcontent.com, https://cache1-dfw1.steamcontent.com/)
([], --> , 200, = , cache1-dsa-ask4.steamcontent.com, https://cache1-dsa-ask4.steamcontent.com/)
([], --> , 200, = , cache1-dxb1.steamcontent.com, https://cache1-dxb1.steamcontent.com/)
([], --> , 200, = , cache1-eze1.steamcontent.com, https://cache1-eze1.steamcontent.com/)
([], --> , 200, = , cache1-fra1.steamcontent.com, https://cache1-fra1.steamcontent.com/)
([], --> , 200, = , cache1-fra2.steamcontent.com, https://cache1-fra2.steamcontent.com/)
([], --> , 200, = , cache1-got-cmhm.steamcontent.com, https://cache1-got-cmhm.steamcontent.com/)
([], --> , 200, = , cache1-gru1.steamcontent.com, https://cache1-gru1.steamcontent.com/)
([], --> , 200, = , cache1-gsv-retn.steamcontent.com, https://cache1-gsv-retn.steamcontent.com/)
([], --> , 200, = , cache1-ham-wilh.steamcontent.com, https://cache1-ham-wilh.steamcontent.com/)
([], --> , 200, = , cache1-hel-retn.steamcontent.com, https://cache1-hel-retn.steamcontent.com/)
([], --> , 200, = , cache1-hkg1.steamcontent.com, https://cache1-hkg1.steamcontent.com/)
([], --> , 200, = , cache1-hrk-retn.steamcontent.com, https://cache1-hrk-retn.steamcontent.com/)
([], --> , 200, = , cache1-iad1.steamcontent.com, https://cache1-iad1.steamcontent.com/)
([], --> , 200, = , cache1-iev-datl.steamcontent.com, https://cache1-iev-datl.steamcontent.com/)
([], --> , 200, = , cache1-iev-giga.steamcontent.com, https://cache1-iev-giga.steamcontent.com/)
([], --> , 200, = , cache1-lax1.steamcontent.com, https://cache1-lax1.steamcontent.com/)
([], --> , 200, = , cache1-lhr1.steamcontent.com, https://cache1-lhr1.steamcontent.com/)
([], --> , 200, = , cache1-lim1.steamcontent.com, https://cache1-lim1.steamcontent.com/)
([], --> , 200, = , cache1-maa1.steamcontent.com, https://cache1-maa1.steamcontent.com/)
([], --> , 200, = , cache1-mad1.steamcontent.com, https://cache1-mad1.steamcontent.com/)
([], --> , 200, = , cache1-man-rise.steamcontent.com, https://cache1-man-rise.steamcontent.com/)
([], --> , 200, = , cache1-mel-aubb.steamcontent.com, https://cache1-mel-aubb.steamcontent.com/)
([], --> , 200, = , cache1-mel-edgx.steamcontent.com, https://cache1-mel-edgx.steamcontent.com/)
([], --> , 200, = , cache1-mel-iioa.steamcontent.com, https://cache1-mel-iioa.steamcontent.com/)
([], --> , 200, = , cache1-mfm-cdtm.steamcontent.com, https://cache1-mfm-cdtm.steamcontent.com/)
([], --> , 200, = , cache1-mmx-cmhm.steamcontent.com, https://cache1-mmx-cmhm.steamcontent.com/)
([], --> , 200, = , cache1-ods-retn.steamcontent.com, https://cache1-ods-retn.steamcontent.com/)
([], --> , 200, = , cache1-ord1.steamcontent.com, https://cache1-ord1.steamcontent.com/)
([], --> , 200, = , cache1-par1.steamcontent.com, https://cache1-par1.steamcontent.com/)
([], --> , 200, = , cache1-per-edgx.steamcontent.com, https://cache1-per-edgx.steamcontent.com/)
([], --> , 200, = , cache1-per-iioa.steamcontent.com, https://cache1-per-iioa.steamcontent.com/)
([], --> , 200, = , cache1-rix-retn.steamcontent.com, https://cache1-rix-retn.steamcontent.com/)
([], --> , 200, = , cache1-sea1.steamcontent.com, https://cache1-sea1.steamcontent.com/)
([], --> , 200, = , cache1-sgp1.steamcontent.com, https://cache1-sgp1.steamcontent.com/)
([], --> , 200, = , cache1-sof-retn.steamcontent.com, https://cache1-sof-retn.steamcontent.com/)
([], --> , 200, = , cache1-sto1.steamcontent.com, https://cache1-sto1.steamcontent.com/)
([], --> , 200, = , cache1-sto2.steamcontent.com, https://cache1-sto2.steamcontent.com/)
([], --> , 200, = , cache1-svo-retn.steamcontent.com, https://cache1-svo-retn.steamcontent.com/)
([], --> , 200, = , cache1-syd1.steamcontent.com, https://cache1-syd1.steamcontent.com/)
([], --> , 200, = , cache1-tyo2.steamcontent.com, https://cache1-tyo2.steamcontent.com/)
([], --> , 200, = , cache1-uln-untl.steamcontent.com, https://cache1-uln-untl.steamcontent.com/)
([], --> , 200, = , cache1-vie1.steamcontent.com, https://cache1-vie1.steamcontent.com/)
([], --> , 200, = , cache1-vno-bite.steamcontent.com, https://cache1-vno-bite.steamcontent.com/)
([], --> , 200, = , cache1-waw-extl.steamcontent.com, https://cache1-waw-extl.steamcontent.com/)
([], --> , 200, = , cache1-waw1.steamcontent.com, https://cache1-waw1.steamcontent.com/)
([], --> , 200, = , cache1-ymo-bell.steamcontent.com, https://cache1-ymo-bell.steamcontent.com/)
([], --> , 200, = , cache1-yvr-shaw.steamcontent.com, https://cache1-yvr-shaw.steamcontent.com/)
([], --> , 200, = , cache1-ywg-shaw.steamcontent.com, https://cache1-ywg-shaw.steamcontent.com/)
([], --> , 200, = , cache1-yyc-shaw.steamcontent.com, https://cache1-yyc-shaw.steamcontent.com/)
([], --> , 200, = , cache1-yyc-tsvy.steamcontent.com, https://cache1-yyc-tsvy.steamcontent.com/)
([], --> , 200, = , cache1-yyz-bell.steamcontent.com, https://cache1-yyz-bell.steamcontent.com/)
([], --> , 200, = , cache1-yyz-tsvy.steamcontent.com, https://cache1-yyz-tsvy.steamcontent.com/)
([], --> , 200, = , cache10-fra1.steamcontent.com, https://cache10-fra1.steamcontent.com/)
([], --> , 200, = , cache10-fra2.steamcontent.com, https://cache10-fra2.steamcontent.com/)
([], --> , 200, = , cache10-iad1.steamcontent.com, https://cache10-iad1.steamcontent.com/)
([], --> , 200, = , cache11-fra1.steamcontent.com, https://cache11-fra1.steamcontent.com/)
([], --> , 200, = , cache12-fra1.steamcontent.com, https://cache12-fra1.steamcontent.com/)
([], --> , 200, = , cache13-fra1.steamcontent.com, https://cache13-fra1.steamcontent.com/)
([], --> , 200, = , cache14-fra1.steamcontent.com, https://cache14-fra1.steamcontent.com/)
([], --> , 200, = , cache2-akl-tpwr.steamcontent.com, https://cache2-akl-tpwr.steamcontent.com/)
([], --> , 200, = , cache2-akl-vgnz.steamcontent.com, https://cache2-akl-vgnz.steamcontent.com/)
([], --> , 200, = , cache2-ala-kzkt.steamcontent.com, https://cache2-ala-kzkt.steamcontent.com/)
([], --> , 200, = , cache2-ams1.steamcontent.com, https://cache2-ams1.steamcontent.com/)
([], --> , 200, = , cache2-atl1.steamcontent.com, https://cache2-atl1.steamcontent.com/)
([], --> , 200, = , cache2-bkk-awnc.steamcontent.com, https://cache2-bkk-awnc.steamcontent.com/)
([], --> , 200, = , cache2-bkk-jast.steamcontent.com, https://cache2-bkk-jast.steamcontent.com/)
([], --> , 200, = , cache2-bkk-true.steamcontent.com, https://cache2-bkk-true.steamcontent.com/)
([], --> , 200, = , cache2-bne-aubb.steamcontent.com, https://cache2-bne-aubb.steamcontent.com/)
([], --> , 200, = , cache2-bne-iioa.steamcontent.com, https://cache2-bne-iioa.steamcontent.com/)
([], --> , 200, = , cache2-bud-retn.steamcontent.com, https://cache2-bud-retn.steamcontent.com/)
([], --> , 200, = , cache2-cfc-acol.steamcontent.com, https://cache2-cfc-acol.steamcontent.com/)
([], --> , 200, = , cache2-cmh-ohix.steamcontent.com, https://cache2-cmh-ohix.steamcontent.com/)
([], --> , 200, = , cache2-dfw1.steamcontent.com, https://cache2-dfw1.steamcontent.com/)
([], --> , 200, = , cache2-dsa-ask4.steamcontent.com, https://cache2-dsa-ask4.steamcontent.com/)
([], --> , 200, = , cache2-dxb1.steamcontent.com, https://cache2-dxb1.steamcontent.com/)
([], --> , 200, = , cache2-eze1.steamcontent.com, https://cache2-eze1.steamcontent.com/)
([], --> , 200, = , cache2-fra1.steamcontent.com, https://cache2-fra1.steamcontent.com/)
([], --> , 200, = , cache2-fra2.steamcontent.com, https://cache2-fra2.steamcontent.com/)
